split,regime,model,mae,rmse,r2,n_test
16,RealPlusSynth,SVR,2.3344272590954627,3.05291688594089,-0.19213158880340986,11
16,RealPlusSynth,GradientBoosting,2.135442472723987,2.7847163438149103,0.008126787551061554,11
16,RealPlusSynth,HistGradientBoosting,1.9605871356587399,2.5023784102892903,0.1990595954523079,11
16,SynthOnly,RandomForest,2.3158108432919877,3.1318637020992637,-0.2545845666720461,11
16,SynthOnly,Ridge,2.186742683341963,3.0479755725454054,-0.18827565115312117,11
16,SynthOnly,SVR,2.314322345558252,3.110314502406273,-0.23737929468216956,11
16,SynthOnly,GradientBoosting,2.167194595765276,2.9499308409519673,-0.11305827477203922,11
16,SynthOnly,HistGradientBoosting,2.1244393552708134,2.883500505262479,-0.06349217212021752,11
17,RealOnly,RandomForest,2.2104448995361277,2.7138106155750936,0.08881703995687518,11
17,RealOnly,Ridge,1.5570531074668004,2.02923995230344,0.4905362077024942,11
17,RealOnly,SVR,2.5904036353637703,3.3598230875723165,-0.3966234690734771,11
17,RealOnly,GradientBoosting,2.0007908023207914,2.3251848912553075,0.33109953149165994,11
17,RealOnly,HistGradientBoosting,2.2747896539194827,2.628717961322125,0.14506223666515006,11
17,RealPlusSynth,RandomForest,2.2462995212145316,2.757598698012917,0.059175439577518696,11
17,RealPlusSynth,Ridge,2.334445673950061,3.08931102866151,-0.18078216610323716,11
17,RealPlusSynth,SVR,2.4046872755137687,3.0720181074924167,-0.16759992391013911,11
17,RealPlusSynth,GradientBoosting,1.7731428041469377,2.3961124106576714,0.2896687967020104,11
17,RealPlusSynth,HistGradientBoosting,1.5169807266941442,2.094263399673194,0.45736335209356094,11
17,SynthOnly,RandomForest,2.4061513933735243,3.0958904015390982,-0.1858169967069243,11
17,SynthOnly,Ridge,2.4174402841514326,3.1256636799914324,-0.20873475080831017,11
17,SynthOnly,SVR,2.463838733649769,3.164748597680715,-0.23915304301550955,11
17,SynthOnly,GradientBoosting,2.2308364849222615,2.8941901517259794,-0.03633612756243898,11
17,SynthOnly,HistGradientBoosting,2.243642023759343,2.8676939592615938,-0.017447756566705053,11
18,RealOnly,RandomForest,1.8442061806823298,2.463413044361232,-0.028398967902826255,11
18,RealOnly,Ridge,1.9037445730443268,2.665219636653393,-0.2037967522464208,11
18,RealOnly,SVR,1.5309642359540705,2.3833121896723206,0.037392974500950804,11
18,RealOnly,GradientBoosting,1.6413670094773054,2.050907458414703,0.28718096672169746,11
18,RealOnly,HistGradientBoosting,1.3628142164701817,1.9553551200228358,0.35205455028943733,11
18,RealPlusSynth,RandomForest,1.652158500104894,2.2432814925588023,0.1471852458856041,11
18,RealPlusSynth,Ridge,1.656474535275003,2.455339553920807,-0.02166914752214466,11
18,RealPlusSynth,SVR,1.5485781726636725,2.402635624522319,0.02172043242146493,11
18,RealPlusSynth,GradientBoosting,1.552824284130393,2.019477678882377,0.30886120230251746,11
18,RealPlusSynth,HistGradientBoosting,1.3334003698505894,1.8318177753025087,0.43134128880725187,11
18,SynthOnly,RandomForest,1.7481171211929636,2.570896743139243,-0.12009904443971986,11
18,SynthOnly,Ridge,1.6697111352515783,2.4551108820082272,-0.021478855178685086,11
18,SynthOnly,SVR,1.6614035245969894,2.559984049704495,-0.11061025000519975,11
18,SynthOnly,GradientBoosting,1.6465297411837587,2.4627673590429295,-0.027859931144035954,11
18,SynthOnly,HistGradientBoosting,1.6403056054472882,2.390721250614797,0.031398711659548106,11
19,RealOnly,RandomForest,1.771290920759889,2.3168178255968943,0.055981067910717774,11
19,RealOnly,Ridge,1.459509853371529,2.1445325441170398,0.19116075615402683,11
19,RealOnly,SVR,1.4843201384635285,2.1929027210908107,0.15426234935426542,11
19,RealOnly,GradientBoosting,1.9691593542271073,2.4423647472912235,-0.04910263461645603,11
19,RealOnly,HistGradientBoosting,1.4515468183622213,1.990112838177476,0.3034499387352675,11
19,RealPlusSynth,RandomForest,1.6833060152027448,2.1993398675107745,0.14928982821002945,11
19,RealPlusSynth,Ridge,1.7435248667209458,2.329711460555793,0.04544445607144487,11
19,RealPlusSynth,SVR,1.5462705881372756,2.189699734651368,0.1567311391281907,11
19,RealPlusSynth,GradientBoosting,1.7995359018097994,2.281008713135193,0.08493736820168729,11
19,RealPlusSynth,HistGradientBoosting,1.4974280704824308,2.202775601670328,0.14662985100435555,11
19,SynthOnly,RandomForest,1.761383828673059,2.3849510454728433,-0.00035896832201021134,11
19,SynthOnly,Ridge,1.7451195802568635,2.3269083436094786,0.04774012327516208,11
19,SynthOnly,SVR,1.5960890953050486,2.288838963151004,0.07864412833166001,11
19,SynthOnly,GradientBoosting,1.672419015158649,2.3140471314081066,0.058237631843388815,11
19,SynthOnly,HistGradientBoosting,1.7302987360890543,2.337968783700148,0.03866589816814203,11
20,RealOnly,RandomForest,2.2069114034151265,2.934222139429763,-0.1731630711552843,11
20,RealOnly,Ridge,2.4414022807649345,3.005871235757516,-0.23115618040595076,11
20,RealOnly,SVR,2.0575258458783066,3.049717585328171,-0.26733565245658397,11
20,RealOnly,GradientBoosting,2.753931733732933,3.3868926322935757,-0.5630586103883164,11
20,RealOnly,HistGradientBoosting,2.1758708088095498,2.9754867443751123,-0.20639198792814462,11
20,RealPlusSynth,RandomForest,1.8231638217849664,2.4953884446542696,0.1515061010637383,11
20,RealPlusSynth,Ridge,2.0567877024081924,2.93263594312082,-0.1718950254065097,11
20,RealPlusSynth,SVR,2.03707503778357,2.853491363612718,-0.10949545994109933,11
20,RealPlusSynth,GradientBoosting,1.5576083477432727,2.3546764897690395,0.24449925005856277,11
20,RealPlusSynth,HistGradientBoosting,1.6459566689560357,2.3527035470233018,0.24576476171024897,11
20,SynthOnly,RandomForest,1.9635951424787352,2.7450560909888706,-0.026773970792439927,11
