split,group,n_features,mae,rmse,r2,n_test
13,G4_+JointAngles,88,1.8275044651007912,2.231065300955809,0.3673361999657426,11
14,G1_AnthroMetabolic,63,1.483113232301573,2.0677288941600853,0.19668348392999513,11
14,G2_+Bioimpedance,73,1.40609639517933,2.0775652254191024,0.1890224391764631,11
14,G3_+PosturalRisk,83,1.4011213124273914,2.046739260591047,0.21290973027605742,11
14,G4_+JointAngles,88,1.4336887067917496,2.0349270434348847,0.22196848334717456,11
15,G1_AnthroMetabolic,63,3.090696412122558,3.901470153697697,-0.6176321681682111,12
15,G2_+Bioimpedance,73,3.1804713119668677,3.949321849272961,-0.6575561638057943,12
15,G3_+PosturalRisk,83,3.1824661582956644,3.9286774416837966,-0.6402722711988931,12
15,G4_+JointAngles,88,2.904573090238957,3.6125399817737573,-0.3869107728912231,12
16,G1_AnthroMetabolic,63,1.8712920239322963,2.3076931185196674,0.31883810672217106,11
16,G2_+Bioimpedance,73,1.975717772010431,2.2846089180041553,0.33239747685505494,11
16,G3_+PosturalRisk,83,2.0203174091008114,2.4963029244251893,0.2029440558670781,11
16,G4_+JointAngles,88,1.9814541704563517,2.419889953027751,0.2509937065998703,11
17,G1_AnthroMetabolic,63,2.0618562173984696,2.4698696010883046,0.24526486972188943,11
17,G2_+Bioimpedance,73,2.229369255353515,2.6903532949187285,0.10450091714817278,11
17,G3_+PosturalRisk,83,2.2144452202892633,2.6176129269886608,0.15227035817984125,11
17,G4_+JointAngles,88,2.2747896539194827,2.628717961322125,0.14506223666515006,11
18,G1_AnthroMetabolic,63,1.3799836712934133,1.9174204379899982,0.3769514881531757,11
18,G2_+Bioimpedance,73,1.165263790432151,1.7593577159257405,0.4754396522645937,11
18,G3_+PosturalRisk,83,1.3259450629527358,1.9397301627835584,0.36236845149314856,11
18,G4_+JointAngles,88,1.3628142164701817,1.9553551200228358,0.35205455028943733,11
19,G1_AnthroMetabolic,63,1.5686532379944844,1.9006979923356597,0.36463518048499155,11
19,G2_+Bioimpedance,73,1.508707174805677,1.9445701499634431,0.3349655214482693,11
19,G3_+PosturalRisk,83,1.63547417874504,2.094881351848615,0.22818041674841139,11
19,G4_+JointAngles,88,1.4515468183622213,1.990112838177476,0.3034499387352675,11
20,G1_AnthroMetabolic,63,2.237920445092868,3.1477333860092043,-0.3501072993209833,11
20,G2_+Bioimpedance,73,1.8819009536605678,2.804987768757103,-0.07209766027940412,11
