split,model,mae,rmse,r2,n_test
18,RandomForest,1.8442061806823298,2.463413044361232,-0.028398967902826255,11
18,Ridge,1.9037445730443268,2.665219636653393,-0.2037967522464208,11
18,SVR,1.5309642359540705,2.3833121896723206,0.037392974500950804,11
18,GradientBoosting,1.6413670094773054,2.050907458414703,0.28718096672169746,11
18,HistGradientBoosting,1.3628142164701817,1.9553551200228358,0.35205455028943733,11
19,RandomForest,1.771290920759889,2.3168178255968943,0.055981067910717774,11
19,Ridge,1.459509853371529,2.1445325441170398,0.19116075615402683,11
19,SVR,1.4843201384635285,2.1929027210908107,0.15426234935426542,11
19,GradientBoosting,1.9691593542271073,2.4423647472912235,-0.04910263461645603,11
19,HistGradientBoosting,1.4515468183622213,1.990112838177476,0.3034499387352675,11
20,RandomForest,2.2069114034151265,2.934222139429763,-0.1731630711552843,11
20,Ridge,2.4414022807649345,3.005871235757516,-0.23115618040595076,11
20,SVR,2.0575258458783066,3.049717585328171,-0.26733565245658397,11
20,GradientBoosting,2.753931733732933,3.3868926322935757,-0.5630586103883164,11
20,HistGradientBoosting,2.1758708088095498,2.9754867443751123,-0.20639198792814462,11
21,RandomForest,2.5958555027906343,3.2203099904373715,-0.17466286691174004,13
21,Ridge,2.3240968912630633,2.908029870226947,0.04211006989521848,13
21,SVR,2.3782231170882877,3.2352586487975783,-0.185593733686797,13
21,GradientBoosting,2.7112102058429497,3.2386667183241054,-0.18809289342644675,13
21,HistGradientBoosting,2.314322969173217,2.8559468091028815,0.07611458591433418,13
22,RandomForest,2.2103482162755506,2.82118826657949,-0.23468139935100019,11
22,Ridge,2.242379978145686,2.5574910825680433,-0.014656457855413363,11
22,SVR,2.4225642487989827,3.288423314409303,-0.6775141990574747,11
22,GradientBoosting,2.702623662519478,3.110687197305977,-0.5010786609967701,11
22,HistGradientBoosting,2.227629628014294,2.910593283657393,-0.31417685231724946,11
23,RandomForest,2.659219217351993,3.323678482607838,-0.4316838441885027,13
23,Ridge,2.7390671003754266,3.0459962270197725,-0.20245223890963104,13
23,SVR,2.8666045505276267,3.7086622129679734,-0.7825580094114337,13
23,GradientBoosting,2.803577761461802,3.1613688273437783,-0.2952674338670742,13
23,HistGradientBoosting,2.383811316458754,2.7828428641059872,-0.003659689160773638,13
24,RandomForest,2.280563133099852,3.055516663901885,-0.2927021346221377,12
24,Ridge,2.8347626771282055,3.1827148196299184,-0.40257019396657157,12
24,SVR,2.9449336256734795,3.8146375039493265,-1.014817439674319,12
24,GradientBoosting,2.233570779988335,2.8740546639467057,-0.1437186446489891,12
24,HistGradientBoosting,2.460341438146284,3.183965513193576,-0.4036727308131425,12
25,RandomForest,2.350033804041225,3.088118003011291,-0.3869149144990578,11
25,Ridge,1.9131529262648435,2.5881339776033316,0.025828202152636814,11
25,SVR,2.457826634648688,3.234451641225265,-0.521469913161541,11
25,GradientBoosting,2.3531765738454737,3.120442799517209,-0.4161018690770608,11
25,HistGradientBoosting,2.0936385613652067,2.6996631836609906,-0.059939829243949694,11
26,RandomForest,4.305689655172413,5.367713023574218,-1.8185623531464468,116
26,Ridge,3.5968529114024004,4.577779564798417,-1.0500234140523577,116
26,SVR,3.423661231930383,4.242021638041632,-0.7603329897374527,116
26,GradientBoosting,4.250075683230981,5.434328247524107,-1.8889551779744238,116
26,HistGradientBoosting,4.038670844342133,4.9710673852397145,-1.4173991750340313,116
27,RandomForest,1.630661749506498,2.3230935537706885,0.013582473099573833,11
27,Ridge,1.4007027822190616,2.3031907503542763,0.030412079252844615,11
27,SVR,1.6851531252443572,2.6297953986478935,-0.26407052037568857,11
27,GradientBoosting,1.72118730116256,2.5343813745430235,-0.17400870566057525,11
27,HistGradientBoosting,1.6712660149472107,2.625297583587124,-0.259750265391232,11
28,RandomForest,1.9121979641929838,2.535771755382579,0.0394484619223191,11
28,Ridge,1.5057786396163861,1.9626227852399667,0.42459447919220594,11
28,SVR,1.917518379896228,2.6151797588904246,-0.021653068800656428,11
28,GradientBoosting,1.7920522269529522,2.628985007994155,-0.03246792943607546,11
28,HistGradientBoosting,1.6772533340273463,2.1377166739085482,0.3173459976213556,11
29,RandomForest,2.3824424171826384,2.846767921119279,-0.1297172801870594,11
29,Ridge,1.9399571098975004,2.468347165794822,0.15066674488782617,11
29,SVR,2.832523767610211,3.680965924024909,-0.8888142006840312,11
29,GradientBoosting,2.022365170148162,2.4518953251288895,0.1619508376358786,11
29,HistGradientBoosting,1.9660215391380724,2.596731188782132,0.06001779161053289,11
